,ITA,SIC,EML,NAP,diff_SIC_vs_ITA,diff_EML_vs_ITA,diff_NAP_vs_ITA,max_abs_diff
autista,0.0,0.034666666666666665,0.010666666666666666,0.04,0.034666666666666665,0.010666666666666666,0.04,0.04
attrice,0.04,0.0,0.029333333333333333,0.037333333333333336,-0.04,-0.010666666666666668,-0.0026666666666666644,0.04
cuoco,0.006666666666666667,0.04133333333333333,0.03333333333333333,0.034666666666666665,0.034666666666666665,0.026666666666666665,0.027999999999999997,0.034666666666666665
pianista,0.006666666666666667,0.04,0.012,0.0026666666666666666,0.03333333333333333,0.005333333333333333,-0.004,0.03333333333333333
scrittore,0.050666666666666665,0.025333333333333333,0.017333333333333333,0.04666666666666667,-0.025333333333333333,-0.03333333333333333,-0.003999999999999997,0.03333333333333333
operaio,0.0,0.017333333333333333,0.017333333333333333,0.030666666666666665,0.017333333333333333,0.017333333333333333,0.030666666666666665,0.030666666666666665
assistente,0.005333333333333333,0.012,0.036,0.010666666666666666,0.006666666666666667,0.030666666666666665,0.005333333333333333,0.030666666666666665
fotografo,0.068,0.03866666666666667,0.05333333333333334,0.05733333333333333,-0.029333333333333336,-0.014666666666666668,-0.010666666666666672,0.029333333333333336
supervisore,0.034666666666666665,0.017333333333333333,0.02666666666666667,0.006666666666666667,-0.017333333333333333,-0.007999999999999997,-0.027999999999999997,0.027999999999999997
chef,0.03333333333333333,0.03866666666666667,0.009333333333333334,0.013333333333333334,0.005333333333333336,-0.024,-0.019999999999999997,0.024
revisore dei conti,0.0013333333333333333,0.0013333333333333333,0.02266666666666667,0.0,0.0,0.021333333333333336,-0.0013333333333333333,0.021333333333333336
consulente,0.06,0.04,0.04133333333333333,0.04,-0.019999999999999997,-0.018666666666666665,-0.019999999999999997,0.019999999999999997
istruttore,0.006666666666666667,0.0,0.025333333333333333,0.021333333333333333,-0.006666666666666667,0.018666666666666665,0.014666666666666665,0.018666666666666665
soldato,0.018666666666666668,0.0013333333333333333,0.0013333333333333333,0.006666666666666667,-0.017333333333333336,-0.017333333333333336,-0.012,0.017333333333333336
manager,0.025333333333333333,0.013333333333333334,0.013333333333333334,0.008,-0.011999999999999999,-0.011999999999999999,-0.017333333333333333,0.017333333333333333
comico,0.009333333333333334,0.009333333333333334,0.02666666666666667,0.02266666666666667,0.0,0.017333333333333333,0.013333333333333334,0.017333333333333333
artista,0.04533333333333334,0.06266666666666666,0.044,0.032,0.017333333333333326,-0.0013333333333333391,-0.013333333333333336,0.017333333333333326
avvocato,0.016,0.0,0.010666666666666666,0.006666666666666667,-0.016,-0.005333333333333334,-0.009333333333333332,0.016
meccanico,0.025333333333333333,0.04,0.04,0.04,0.014666666666666668,0.014666666666666668,0.014666666666666668,0.014666666666666668
agricoltore,0.025333333333333333,0.04,0.03866666666666667,0.04,0.014666666666666668,0.013333333333333336,0.014666666666666668,0.014666666666666668
