File Name,Domain,Neapolitan Text,Automated Translation,Parmigiano,Siciliano
002.m4a,Play,E chesto capisce tu: 'e denare!,E questo capisci tu: i soldi!,E còst capisci ti: i sóld!,E chistu capisci tu: li quibbus!
003.m4a,Play,E cu' 'e denare t'he accattato tutto chello ca he voluto!,E con i soldi ti sei comprato tutto quello che hai voluto!,E cón i sóld ti séz comprato incósa còll che hai volsù!,E chî quibbus ti sei accattatu tuttu ddu ca hai voluto!
004.m4a,Play,Ma Filumena Marturano ha fatto correre essa a te! E currive senza ca te n'addunave.,Ma Filumena Marturano è corsa verso di te! E correva senza che te ne accorgessi.,Ma Filumena Marturano è corsa incóntra di te! E correva sénsa che te in accorgessi.,Ma Filumena Marturano è cursa abbersu di te! E correva senza ca te ndi accorgessi.
005.m4a,Play,"E ancora he 'a correre, ancora he 'a iettà 'o sango a capi comme se campa e se prucede 'a galantomo!","E ancora deve correre, ancora deve versare sangue a capo di come si campa e si procede da galantuomo!","E ancòrra deve còrror, ancòrra deve versär sangonàs a copè di cme agh campa e agh procede da galantòmm!","E àncura deve cùrriri, àncura deve allambirsari sangu a capu di comu si campa e si procede pi galantuomo!"
006.m4a,Play,O miédeco nun sapeva niente.,Il medico non sapeva niente.,Il medico non sapeva niént.,Lu mèdicu nun sapeva necca.
007.m4a,Play,"Ce ha creduto pur'isso, e ce avev' 'a credere!","Ci ha creduto anche lui, e ci doveva credere!","Agh ha creduto an’ al, e agh doveva crèddor!","Cci ha crittu azzanìa iddu, e cci doveva crìdiri!"
008.m4a,Play,"Qualunque femmena, doppo vinticinc'anne che ha passato vicino a te, se mette in agonia.","Qualsiasi donna, dopo venticinque anni che ha passato vicino a te, si mette in agonia.","Qualsiasi dònna, dòp venticinque anni che ha pasä davzén a te, agh mette in agonia.","Quarsiasi mugghieri, doppu venticinque anni ca ha passatu ncuttu a te, si mette ndi angunìa."
009.m4a,Play,T'aggio fatto 'a serva!,Ti ho fatto la serva!,Ti ho fat la sarvètta!,Ti ho fattu a serva!
010.m4a,Play,"A serva ll'aggio fatta pè vinticinc'anne, e vuie 'o ssapite.","La serva l’ho fatta per venticinque anni, e voi lo sapete.","La sarvètta l’ho fatta per venticinque anni, e vu lo sapete.","A serva l’ho fatta pi venticinque anni, e vuàutri lu sapete."
011.m4a,Play,"E maie ca t'avesse visto sottomessa, che ssaccio?","E mai che ti avessi visto sottomessa, chi lo sa?","E mäi che ti avessi vist sottomessa, chi lo sa?","E mai ca ti avessi vistu sottomessa, cu lu sa?"
012.m4a,Play,E avev' 'a chiagnere pe' te?,E dovevi piangere per te?,E dovevi cridär per te?,E dovevi chiànciri pi te?
013.m4a,Play,Era troppo bello 'o mobile.,Era troppo bello il mobile.,Era tròp bél il tolètta.,Era troppu beddu lu mobile.
014.m4a,Play,"E quanno me vulive vedé 'e durmi, tu?","E quando volevo vederti dormire, tu?","E quand volevo vederti dormìr, ti?","E quannu volevo vederti dòrmiri, tu?"
015.m4a,Play,A strada d' 'a casa t' 'a scurdave.,La strada di casa te la scordavi.,La strada di ca te la scordavi.,A strata di casa te a scordavi.
016.m4a,Play,"E mmeglie feste, 'e meglie Natale me ll'aggio passate sola comm' a na cana.","E le feste migliori, i migliori Natali li ho passati sola come una cagna.","E il feste migliori, i migliori Natali li ho passati sola cme ’n cagna.","E li feste migliori, li migliori Natali li ho passati sola comu na cani."
017.m4a,Play,Saie quanno se chiagne?,Sai quando si piange?,Sai quand agh piange?,Sai quannu si piange?
018.m4a,Play,Quanno se cunosce 'o bbene e nun se pò avé!,Quando si conosce il bene e non si può avere!,Quand agh conosce il bén e non agh può avér!,Quannu si conosce lu bonu e nun si può aviri!
019.m4a,Play,Ma Filumena Marturano bene nun ne cunosce... e quanno se cunosce sulo 'o mmale nun se chiagne.,Ma Filumena Marturano bene non ne conosce... e quando si conosce solo il male non si piange.,Ma Filumena Marturano bén non in conosce... e quand agh conosce solo il mäl non agh piange.,Ma Filumena Marturano bonu nun ndi conosce... e quannu si conosce sulu lu mali nun si piange.
020.m4a,Play,"A suddisfazione 'e chiagnere, Filumena Marturano, nun l'ha pututa maie avé!","La soddisfazione di piangere, Filumena Marturano, non l’ha mai potuta avere!","La sodisfasión di cridär, Filumena Marturano, non l’ha mäi potuta avér!","A soddisfazione di chiànciri, Filumena Marturano, nun l’ha mai potuta aviri!"
021.m4a,Play,"Comm' all'ultima femmena m' he trattato, sempe!","Come all’ultima donna mi hai trattato, sempre!","Cme all’ultima dònna am hai trattato, sémpor!","Comu all’ultima mugghieri mi hai trattato, sempri!"
022.m4a,Play,"Ma mo, all'urdemo all'urdemo, a cinquantaduie anne, se retira cu' 'e fazzulette spuorche 'e russetto, ca me fanno schifo.","Ma ora, all’ultimo all’ultimo, a cinquantadue anni, si ritira con i fazzoletti sporchi di rossetto, che mi fanno schifo.","Ma òra, all’ùltom all’ùltom, a cinquantadue anni, agh ritira cón i fazzoletti sporchi di rosètt, che am fanno schifo.","Ma ora, all’ùrtimu all’ùrtimu, a cinquantadue anni, si ritira chî fazzoletti lordi di rossetto, ca mi fanno schifo."
023.m4a,Play,"A chella chi? .,. A chella chi?",A quella chi?.. A quella chi?,A còlla chi?.. A còlla chi?,A dda cu?.. A dda cu?
