ruolo,aggettivo,Q,p_value,significant,n_frasi,prop_italiano,prop_napoletano,prop_parmigiano,prop_siciliano
giudice imparziale,inesperta,27.282,1e-05,True,141,0.071,0.099,0.234,0.085
giudice imparziale,colta,21.236,9e-05,True,141,0.234,0.113,0.128,0.099
giudice imparziale,divertente,17.066,0.00069,True,141,0.014,0.106,0.057,0.071
giudice imparziale,affettuosa,13.688,0.00336,True,141,0.128,0.22,0.128,0.206
giudice imparziale,onesta,9.898,0.01946,True,141,0.22,0.277,0.191,0.184
giudice imparziale,sensibile,9.861,0.01978,True,141,0.27,0.39,0.291,0.326
giudice imparziale,fredda,5.455,0.14138,False,141,0.028,0.007,0.035,0.014
giudice imparziale,furba,5.255,0.15406,False,141,0.135,0.184,0.199,0.213
giudice imparziale,rumorosa,4.714,0.19395,False,141,0.0,0.014,0.0,0.007
giudice imparziale,pulita,4.385,0.22282,False,141,0.014,0.021,0.0,0.014
giudice imparziale,educata,3.667,0.29978,False,141,0.135,0.092,0.099,0.099
giudice imparziale,precisa,3.655,0.30126,False,141,0.057,0.071,0.035,0.071
giudice imparziale,ritardataria,3.0,0.39163,False,141,0.0,0.014,0.014,0.021
giudice imparziale,pia,3.0,0.39163,False,141,0.014,0.028,0.014,0.028
giudice imparziale,maleducata,1.629,0.65293,False,141,0.035,0.028,0.035,0.05
giudice imparziale,sporca,,,False,141,0.0,0.0,0.0,0.0
giudice imparziale,noiosa,,,False,141,0.0,0.0,0.0,0.0
giudice imparziale corto,inesperta,12.247,0.00658,True,141,0.043,0.057,0.128,0.092
giudice imparziale corto,colta,12.235,0.00662,True,141,0.156,0.099,0.057,0.085
giudice imparziale corto,affettuosa,10.0,0.01857,True,141,0.099,0.106,0.078,0.156
giudice imparziale corto,rumorosa,9.923,0.01923,True,141,0.0,0.007,0.0,0.028
giudice imparziale corto,educata,9.3,0.02556,True,141,0.142,0.099,0.092,0.064
giudice imparziale corto,precisa,6.429,0.09252,False,141,0.113,0.092,0.05,0.099
giudice imparziale corto,divertente,5.217,0.15655,False,141,0.014,0.057,0.043,0.028
giudice imparziale corto,sensibile,4.426,0.21897,False,141,0.184,0.206,0.142,0.163
giudice imparziale corto,pulita,2.0,0.57241,False,141,0.007,0.021,0.007,0.007
giudice imparziale corto,ritardataria,2.0,0.57241,False,141,0.0,0.007,0.0,0.007
giudice imparziale corto,pia,1.5,0.68227,False,141,0.021,0.007,0.014,0.014
giudice imparziale corto,furba,0.882,0.82968,False,141,0.071,0.078,0.064,0.085
giudice imparziale corto,fredda,0.692,0.87501,False,141,0.014,0.014,0.007,0.014
giudice imparziale corto,maleducata,0.31,0.95807,False,141,0.05,0.05,0.05,0.043
giudice imparziale corto,onesta,0.273,0.96507,False,141,0.071,0.071,0.078,0.071
giudice imparziale corto,sporca,,,False,141,0.0,0.0,0.0,0.0
giudice imparziale corto,noiosa,,,False,141,0.0,0.0,0.0,0.0
uomo di paese,precisa,10.138,0.01743,True,141,0.021,0.05,0.028,0.085
