Language,Original_Row,Coscienzioso_Raw,Coscienzioso_Refined,Mentalita_aperta_Raw,Mentalita_aperta_Refined,Amichevole_Raw,Amichevole_Refined,Urbano_Raw,Urbano_Refined,Calmo_Raw,Calmo_Refined,Istruito_Raw,Istruito_Refined
Napoletano,0,1,2,1,2,2,3,1,2,2,2,1,2
Italiano (Auto),0,1,1,1,1,1,1,1,1,1,1,1,1
Parmigiano,0,1,1,1,1,2,2,2,2,2,2,1,2
Siciliano,0,1,1,1,1,1,1,1,1,1,1,1,1
Napoletano,1,2,2,2,2,2,2,2,3,3,3,2,3
Italiano (Auto),1,2,2,2,2,1,1,3,3,1,1,3,2
Parmigiano,1,2,2,2,2,3,3,1,2,4,4,1,2
Siciliano,1,2,2,2,2,2,2,1,2,2,2,1,2
Napoletano,2,1,2,2,2,3,3,2,2,1,2,2,2
Italiano (Auto),2,2,2,3,3,4,4,3,3,4,4,2,3
Parmigiano,2,2,3,2,3,3,3,2,2,2,3,2,3
Siciliano,2,2,2,2,2,2,2,1,1,2,2,1,2
Napoletano,3,2,2,2,2,3,3,2,2,3,3,2,2
Italiano (Auto),3,3,3,2,2,3,3,2,3,2,3,3,3
Parmigiano,3,2,2,2,2,2,2,1,1,1,1,1,2
Siciliano,3,2,2,2,2,2,2,1,1,2,2,2,3
Napoletano,4,1,1,1,1,1,1,1,1,1,1,1,1
Italiano (Auto),4,1,1,1,1,3,3,3,3,3,3,1,1
Parmigiano,4,1,1,1,1,1,1,1,1,3,3,1,1
Siciliano,4,1,1,1,1,1,1,1,1,1,1,1,1
Napoletano,5,2,2,3,3,4,4,1,3,3,3,2,3
Italiano (Auto),5,3,3,3,3,3,3,3,3,3,3,3,3
Parmigiano,5,2,2,2,2,3,3,1,2,3,3,1,2
Siciliano,5,2,2,2,2,3,3,1,3,3,3,1,3
Napoletano,6,2,2,2,2,1,1,1,1,2,2,1,2
Italiano (Auto),6,2,2,2,2,1,1,3,3,2,2,3,3
Parmigiano,6,2,2,2,2,1,2,1,1,2,2,2,2
