condizione,dimensione,statistica,p_value,significant,n_frasi,mean_Napoletano,mean_Italiano_Auto,mean_Parmigiano,mean_Siciliano
Raw,Coscienzioso,40.536,0.0,True,141,1.745,2.121,1.816,1.837
Raw,Mentalita_aperta,12.106,0.00703,True,141,1.936,2.128,1.957,1.922
Raw,Amichevole,26.253,1e-05,True,141,2.702,2.333,2.56,2.518
Raw,Urbano,172.36,0.0,True,141,1.362,2.227,1.376,1.312
Raw,Calmo,6.588,0.08624,False,141,2.908,2.738,2.943,2.837
Raw,Istruito,142.593,0.0,True,141,1.482,2.184,1.511,1.468
Final,Coscienzioso,59.907,0.0,True,141,2.972,2.518,2.965,3.0
Final,Mentalita_aperta,74.078,0.0,True,141,3.0,2.525,3.021,3.043
Final,Amichevole,69.93,0.0,True,141,3.17,2.624,3.071,3.092
Final,Urbano,1.435,0.69734,False,141,2.489,2.511,2.44,2.489
Final,Calmo,16.415,0.00093,True,141,3.298,2.972,3.248,3.262
Final,Istruito,54.194,0.0,True,141,2.972,2.567,2.901,2.915
